Date	title	text
JAN1	Politicians could ease refugee suffering, but instead they stoke fear	The major incident is well and truly under way Sajid Javid has signalled just how seriously he is taking the recent spike in refugee crossings across the Channel by interrupting his holiday to deal with the crisis  All manner of plans are now being devised to shore up our borders Around people have crossed the Channel since Christmas Day but while the government ramps up concern about this sudden new development actually something that has been occurring since context is lacking 
JAN1	If we must look to the past, let’s make it 1989 – a year of transformation	Whatever happened to the future Brexiteers cling on to a fantastical mixture of empire war and an England whose genius was supposedly embodied by Winston Churchill and Margaret Thatcher In the United States Donald Trump harks back to an America of economic might musclebound men toiling in car factories and coalmines and splendid isolation A recent issue of the Economist surveyed politics in Europe and the US and observed an orgy of reminiscence partly traceable to the fact that millions of westerners cannot shake off a deep and understandable sense of decline  There s an obvious irony in having to look back to find something better but marks the th anniversary of a run of events that embodied pretty much the polar opposite optimism faith in the future and a sense of shared humanity that could not be more different from the polarised rancorous mood of today As this year unfolds the events of a year as replete with significance as or will be celebrated and picked apart in Berlin there will be an impressive run of commemorative events Leafing through histories of the time and thinking back to what happened what most sticks out is a set of emotions and impulses that we would do well to revive defiance joy an urge to run headlong into whatever happened next 
JAN1	Brexit is not an end to Britain’s liaison with Europe. It’s just a new beginning	They are sick of the whole thing They just want it to be over No more uncertainty Brexiteers want resolution They will be disappointed Willing something does not make it so Aethelred wanted Viking raids to stop The kingdoms of Wales Scotland and Ireland wished the Norman and Plantagenet monarchs of England would cease their predatory lunges into their territory Neville Chamberlain hoped that Hitler would be content with Czechoslovakia Oliver Letwin wished there was an island we could send all migrants to The hopes of politicians and rulers are whispers in a gale  There is no end state in our relations with Europe There is only millennia of collaboration conquest disputes exchange competition and alliance 
JAN1	Louis CK’s rant shows abusers are still casting themselves as victims	One of the more idiotic if not wholly surprising byproducts of the MeToo era is how men who have been exposed as misogynists and abusers have recast themselves as victims Lost livelihoods and broken reputations are they tell us an excessive price to pay for their transgressions Lately though going hand in hand with this victim status is a new hardened persona one that comes bathed in fury and self righteousness You thought that was bad they seem to say You ain t seen the half of it  Take Louis CK the comedian who in November admitted to repeatedly exposing himself to and masturbating in front of unconsenting women and on being found out declared I have spent my long and lucky career talking and saying anything I want I will now step back and take a long time to listen For CK a long time meant nine months after which he was back on stage at the Comedy Cellar in New York doing what comics tend to do talking and saying what he wanted Now new audio has emerged from a fortnight ago featuring a lengthy Louis CK rant I would call it a comedy set but that would give it a credence it doesn t deserve recorded at a Long Island club It finds him jokingly bemoaning the money he has lost in the past year mocking the survivors of the shooting in Parkland Florida in which students and staff members were killed and lamenting the new political correctness that champions gender neutral pronouns and frowns on the use of words like retarded Presumably sensing disapproval from his audience he says What are you going to take away my birthday My life is over I don t give a shit You can be offended it s OK You can get mad at me Anyway So why do black guys have big dicks Let s talk about that for a minute 
JAN1	I used to defend smacking children. Now I see it as an abuse of power	Brats do not endear themselves Even when insulated from children we nevertheless encounter our fair share of adults whom we suspect got their own way too much of the time as kids The recent behaviour of some Conservative MPs could be a case in point The foot stamping of fanatical Brexiteers unable to reconcile what they wish for with reality is not unlike that of a child screaming their insistence that they won t wear a coat even though it s C outside  It s not hard to imagine that they were rarely told no when they were young Or that the finality of the word was seldom made concrete to them They have become grandiose and overindulged and we re collectively suffering the consequences of their tantrum 
JAN1	Don’t expect Brexit to give us a British Alexander Hamilton	I spent most of hearing the same story of revolution ambition and factional rivalry played on a loop And when I wasn t listening to the Hamilton soundtrack I wrote about Brexit  I m late to the Hamilton party I know Lin Manuel Miranda s musical about the first US Treasury secretary opened on Broadway in I only got tickets to see it in London a few weeks ago but by then I was word perfect on the score For the uninitiated Hamilton tells the story of an orphan immigrant s climb up the social and political ladders of newly independent America culminating in a death that well let s just say it puts the modern Twitter spat into perspective Plus singing dancing rapping 
JAN1	Human dignity is in danger. In 2019 we must stand as one to survive	What does it mean to be human That question sits at the core of human rights To be human has specific implications human self awareness and the actions taken to uphold human dignity these are what gives the concept of humanity a special meaning  Human self awareness and human actions determine the interplay between individual thought and language and the wider society It is our actions as humans that deliver economic security the right to education the right to free association and free expression and which create the conditions for protecting expression and encouraging bold thinking When we abandon efforts to uphold human dignity we forfeit the essential meaning of being human and when we waver in our commitment to the idea of human rights we abandon our moral principles What follows is duplicity and folly corruption and tyranny and the endless stream of humanitarian crises that we see in the world today 
JAN1	There is a path to a second referendum – and only Labour can win it	If it was the season of peace and goodwill towards all then politics failed to get the memo Not only did hostilities continue through the Christmas period some of the main protagonists announced in advance that they were incapable of taking a break If anything the holidays provided more opportunities for irate booze fuelled Twitter rants One particular object of ire was Jeremy Corbyn s pre Christmas interview in the Guardian where he appeared to dash the hopes of many on the left that Labour would immediately become the party of remain  As the political class sobers up in January and returns to Westminster it will become apparent that little has changed The size of the majority against the prime minister s deal will have diminished but as No briefed in the run up to the internal confidence vote in her leadership it only takes a majority of one Bizarrely Downing Street has chosen to amplify the threat of no deal by announcing more money and even the deployment of troops But this strategy seems set to backfire it will only give comfort to the European Research Group hardliners that there can be a soft landing to jumping off the cliff edge 
JAN1	Was 2018 a turning point for women? Yes, it exposed what we’re up against	A pale slouching Harvey Weinstein has so far escaped criminal charges for the allegations of sexual assault against him A millionaire is given a three year jail sentence for killing a woman who died from the horrific injuries he inflicted on her including having bleach poured over her face because this was said to be consensual rough sex The incredibly brave Kurdish women who have faced down Islamic State have now been totally abandoned by Trump s policy on Syria This is how we end the year and though there are those reluctant still to give up the narrative of sunlit progress it s not been a great one for women  But there are so many great and good women out there who shine light into the darkness I raise a glass to you for 
JAN1	Brexiteers want Britain to ‘look east’. But their idea of Asia is a fantasy	In a few weeks Singapore observes the th anniversary of Sir Stamford Raffles arrival The spot where he landed is marked with a statue arms folded looking out to sea while the storey headquarters of a local bank towers behind him It s a popular selfie spot  Singapore s government plans a series of exhibitions and historic walking trails that will turn the spotlight on the island s long and successful history both before and after the imperial adventurer strode ashore and planted the union flag in January 
JAN2	May has run down the Brexit clock. It must be stopped	Theresa May thought her Brexit deal was an offer MPs could not refuse Not because it would bring our constituents anything useful Quite the opposite it will make us poorer our economy less certain and our outlook less hopeful Take the prime minister s Brexit deal or crash out of Europe with no deal at all she declared  But far from being the Don Corleone of British politics Theresa May is more the emperor with no clothes Explicitly keeping the option of a no deal on the table is an act of supreme economic sabotage It is also delusional The prime minister has long preferred the support of hard right Brexiteers over more reasonable voices within her party Now she is seeking the votes she needs by threatening these same Brexiteers with something they actually want a no deal Brexit Her attempt at blackmail is both stupid and venal 
JAN2	Sajid Javid’s bluster on Channel crossings has an ugly Australian precedent	Britain is in the grip of a crisis Apparently Last week the home secretary Sajid Javid declared the number of people attempting to cross the Channel a major incident though the numbers don t support such a claim But that didn t deter the newspapers   Home secretary brings back two Border Force cutters to tackle migrant crisis says the Metro Sajid Javid recalls two Border Force boats to patrol English Channel amid migrant crisis the Evening Standard reports Migrant crisis the Sun shouts in capitals Two Border Force boats redeployed from the Med to patrol the Channel for migrants The Daily Express joined in Migrant crisis migrants detained at Kent beach ahead of Sajid Javid talks And the Times Migrant crisis Sajid Javid sends extra boats to Channel 
JAN2	Here, in the bloodlands of Belarus, I found hope for the future of Europe	In December I travelled to Minsk for a seminar with a group of European historians A few miles outside the capital of Belarus we visited places where both the Nazis and Stalin s secret police had committed some of the worst crimes of the th century During those few days I also spoke with some young locals who offered glimmers of hope as to what a truly united Europe could one day look like  It was the most instructive trip I ve made in years a deep dive into conflicting European memories highlighting the difficulty of overcoming stereotypes and ideological narratives as well as the legacy of the cold war in people s minds 
JAN2	Theresa May has broken her promise to the over-75s	Imagine for a second the BBC taking a frail housebound elderly pensioner to court for not possessing a TV licence that for years she has had for free Then imagine fining her the standard penalty with legal costs on top and if she doesn t pay or can t pay sending her to prison  Unthinkable In fact one in every court cases is over non payment of TV licences And from next year millions of people aged over could lose their right to a free TV licence and if they don t pay up end up being taken to court despite a Conservative election promise they would not have to pay 
JAN2	I thought online fakes would cause an infopocalypse	Remember when Barack Obama called President Trump a total and complete dipshit No me neither But if you search for it there s a video on YouTube where he appears to be saying just that I used to think that deepfakes would change the world These clips created using off the shelf AI systems take advantage of new capabilities to near perfectly edit video swapping faces altering expressions and synthesising speech without any artistic expertise  The technology burst into the public consciousness around Christmas when a small batch of perverts cottoned on to the possibilities of using it to insert their favourite celebrities into pornography But others were quick to see the wider ramifications of the tech a well timed deepfake of say a world leader declaring war or an FTSE chief executive openly discussing their company s impending bankruptcy could send shockwaves through the world s media 
JAN2	Politicians could ease refugee suffering, but instead they stoke fear	The major incident is well and truly under way Sajid Javid has signalled just how seriously he is taking the recent spike in refugee crossings across the Channel by interrupting his holiday to deal with the crisis  All manner of plans are now being devised to shore up our borders Around people have crossed the Channel since Christmas Day but while the government ramps up concern about this sudden new development actually something that has been occurring since context is lacking 
JAN2	If we must look to the past, let’s make it 1989 – a year of transformation	Whatever happened to the future Brexiteers cling on to a fantastical mixture of empire war and an England whose genius was supposedly embodied by Winston Churchill and Margaret Thatcher In the United States Donald Trump harks back to an America of economic might musclebound men toiling in car factories and coalmines and splendid isolation A recent issue of the Economist surveyed politics in Europe and the US and observed an orgy of reminiscence partly traceable to the fact that millions of westerners cannot shake off a deep and understandable sense of decline  There s an obvious irony in having to look back to find something better but marks the th anniversary of a run of events that embodied pretty much the polar opposite optimism faith in the future and a sense of shared humanity that could not be more different from the polarised rancorous mood of today As this year unfolds the events of a year as replete with significance as or will be celebrated and picked apart in Berlin there will be an impressive run of commemorative events Leafing through histories of the time and thinking back to what happened what most sticks out is a set of emotions and impulses that we would do well to revive defiance joy an urge to run headlong into whatever happened next 
JAN2	Louis CK’s rant shows abusers are still casting themselves as victims	One of the more idiotic if not wholly surprising byproducts of the MeToo era is how men who have been exposed as misogynists and abusers have recast themselves as victims Lost livelihoods and broken reputations are they tell us an excessive price to pay for their transgressions Lately though going hand in hand with this victim status is a new hardened persona one that comes bathed in fury and self righteousness You thought that was bad they seem to say You ain t seen the half of it  Take Louis CK the comedian who in November admitted to repeatedly exposing himself to and masturbating in front of unconsenting women and on being found out declared I have spent my long and lucky career talking and saying anything I want I will now step back and take a long time to listen For CK a long time meant nine months after which he was back on stage at the Comedy Cellar in New York doing what comics tend to do talking and saying what he wanted Now new audio has emerged from a fortnight ago featuring a lengthy Louis CK rant I would call it a comedy set but that would give it a credence it doesn t deserve recorded at a Long Island club It finds him jokingly bemoaning the money he has lost in the past year mocking the survivors of the shooting in Parkland Florida in which students and staff members were killed and lamenting the new political correctness that champions gender neutral pronouns and frowns on the use of words like retarded Presumably sensing disapproval from his audience he says What are you going to take away my birthday My life is over I don t give a shit You can be offended it s OK You can get mad at me Anyway So why do black guys have big dicks Let s talk about that for a minute 
JAN2	I used to defend smacking children. Now I see it as an abuse of power	Brats do not endear themselves Even when insulated from children we nevertheless encounter our fair share of adults whom we suspect got their own way too much of the time as kids The recent behaviour of some Conservative MPs could be a case in point The foot stamping of fanatical Brexiteers unable to reconcile what they wish for with reality is not unlike that of a child screaming their insistence that they won t wear a coat even though it s C outside  It s not hard to imagine that they were rarely told no when they were young Or that the finality of the word was seldom made concrete to them They have become grandiose and overindulged and we re collectively suffering the consequences of their tantrum 
JAN2	Don’t expect Brexit to give us a British Alexander Hamilton	I spent most of hearing the same story of revolution ambition and factional rivalry played on a loop And when I wasn t listening to the Hamilton soundtrack I wrote about Brexit  I m late to the Hamilton party I know Lin Manuel Miranda s musical about the first US Treasury secretary opened on Broadway in I only got tickets to see it in London a few weeks ago but by then I was word perfect on the score For the uninitiated Hamilton tells the story of an orphan immigrant s climb up the social and political ladders of newly independent America culminating in a death that well let s just say it puts the modern Twitter spat into perspective Plus singing dancing rapping 
JAN3	Donald Trump has a point – the world should start solving its own problems	For a Briton to spend time in the US just now is a blessed relief Whole days pass and no talk of Brexit It is as if a pall has lifted from the art of conversation But the US has its own deep divide slashing through the populist body politic It is Donald Trump and America first  Trump has become a phenomenon Like Samson in the temple he seems able to topple the entire edifice of policy Down crashes America s government machine for the sake of a wall world trade is devastated stock markets plummet alliances lie in ruins It is astonishing what one man can do to the world virtually alone 
